,,,,
,,,,
ДЕТЕЙЛИНГ МОЙКА,,,,
Мойка экспресс,"600,000","600,000","600,000",Мойка экспресс
Мойка 2-х фазная,"1 700,000","2 000,000","2 300,000",Мойка 2-х фазная
Мойка 3-х фазная,"2 500,000","2 700,000","3 000,000",Мойка 3-х фазная
Уборка багажника,"250,000","250,000","250,000",Уборка багажника
Очистка металлических вкраплений,"3 000,000","3 500,000","4 000,000",Очистка металлических вкраплений
Удаление битумных пятен,"1 500,000","1 500,000","1 500,000",Удаление битумных пятен
Полная детейлинг мойка,"6 000,000","6 500,000","7 000,000",Полная детейлинг мойка
Диэлектрическая мойка двигателя (за данную услугу студия гарантию не предоставляет),"3 500,000","4 000,000","4 500,000",Диэлектрическая мойка двигателя (за данную услугу студия гарантию не предоставляет)
,,,,
АНТИКОР,,,,
,1 класс (малые и средние авто),2 класс (бизнесс класс и кроссоверы),"3 класс (представительские, внедорожники, минивены, микроавтобусы)",
"Комплекс(арки, пороги, днище, скрытые полости) НЕ РАМНЫЕ АВТО без пробега","25 000,000","30 000,000","35 000,000","Комплекс(арки, пороги, днище, скрытые полости) НЕ РАМНЫЕ АВТО без пробега"
"Комплекс(арки, пороги, днище, скрытые полости) РАМНЫЕ АВТО без пробега",,,"45 000,000","Комплекс(арки, пороги, днище, скрытые полости) РАМНЫЕ АВТО без пробега"
Комплекс НЕ РАМНЫЕ АВТО с пробегом,"30 000,000","35 000,000","40 000,000",Комплекс НЕ РАМНЫЕ АВТО с пробегом
Комплекс РАМНЫЕ АВТО с пробегом,,,"50 000,000",Комплекс РАМНЫЕ АВТО с пробегом
,,,,
,,,,
,,,,
,,,,
Демонтаж старой пленки,от 1 000,от 1 000,от 1 000,Демонтаж старой пленки
Химчистка салона (детейлинг полная),от 16 000,от 18 000,от 20 000,Химчистка салона (детейлинг полная)
Химчистка потолка,от 3 000,от 3 500,от 4 000,Химчистка потолка
Химчистка пола (ковролин),от 4 000,от 5 000,от 6 000,Химчистка пола (ковролин)
Химчистка сидений текстиль (за одно место),от 1 500,от 2 000,от 2 500,Химчистка сидений текстиль (за одно место)
Химчистка сидений кожа (за одно место с кондиционером кожи),от 1 600,от 2 100,от 2 600,Химчистка сидений кожа (за одно место с кондиционером кожи)
УДАЛЕНИЕ ВМЯТИН БЕЗ ПОКРАСКИ,,,,УДАЛЕНИЕ ВМЯТИН БЕЗ ПОКРАСКИ
Удаление вмятин PDR,от 1 000,от 1 000,от 1 000,Удаление вмятин PDR
